Athlete,Closing Ceremony Date,Country,Sport,Year,Age,Bronze Medals,Gold Medals,Silver Medals,Total Medals
Michael Phelps,24-08-2008,United States,Swimming,2008,23,0,8,0,8
Michael Phelps,29-08-2004,United States,Swimming,2004,19,2,6,0,8
Michael Phelps,12-08-2012,United States,Swimming,2012,27,0,4,2,6
Natalie Coughlin,24-08-2008,United States,Swimming,2008,25,3,1,2,6
Aleksey Nemov,01-10-2000,Russia,Gymnastics,2000,24,3,2,1,6
Alicia Coutts,12-08-2012,Australia,Swimming,2012,24,1,1,3,5
Missy Franklin,12-08-2012,United States,Swimming,2012,17,1,4,0,5
Ryan Lochte,12-08-2012,United States,Swimming,2012,27,1,2,2,5
Allison Schmitt,12-08-2012,United States,Swimming,2012,22,1,3,1,5
Natalie Coughlin,29-08-2004,United States,Swimming,2004,21,1,2,2,5
Ian Thorpe,01-10-2000,Australia,Swimming,2000,17,0,3,2,5
Dara Torres,01-10-2000,United States,Swimming,2000,33,3,2,0,5
Cindy Klassen,26-02-2006,Canada,Speed Skating,2006,26,2,1,2,5
Nastia Liukin,24-08-2008,United States,Gymnastics,2008,18,1,1,3,5
Marit Bjørgen,28-02-2010,Norway,Cross Country Skiing,2010,29,1,3,1,5
Sun Yang,12-08-2012,China,Swimming,2012,20,1,2,1,4
Kirsty Coventry,24-08-2008,Zimbabwe,Swimming,2008,24,0,1,3,4
Libby Lenton-Trickett,24-08-2008,Australia,Swimming,2008,23,1,2,1,4
Ryan Lochte,24-08-2008,United States,Swimming,2008,24,2,2,0,4
Inge de Bruijn,29-08-2004,Netherlands,Swimming,2004,30,2,1,1,4
Petria Thomas,29-08-2004,Australia,Swimming,2004,28,0,3,1,4
Ian Thorpe,29-08-2004,Australia,Swimming,2004,21,1,2,1,4
Inge de Bruijn,01-10-2000,Netherlands,Swimming,2000,27,0,3,1,4
Gary Hall Jr.,01-10-2000,United States,Swimming,2000,25,1,2,1,4
Michael Klim,01-10-2000,Australia,Swimming,2000,23,0,2,2,4
Susie O'Neill,01-10-2000,Australia,Swimming,2000,27,0,1,3,4
Jenny Thompson,01-10-2000,United States,Swimming,2000,27,1,3,0,4
Pieter van den Hoogenband,01-10-2000,Netherlands,Swimming,2000,22,2,2,0,4
An Hyeon-Su,26-02-2006,South Korea,Short-Track Speed Skating,2006,20,1,3,0,4
Aliya Mustafina,12-08-2012,Russia,Gymnastics,2012,17,2,1,1,4
Shawn Johnson,24-08-2008,United States,Gymnastics,2008,16,0,1,3,4
Dmitry Sautin,01-10-2000,Russia,Diving,2000,26,2,1,1,4
Leontien Zijlaard-van Moorsel,01-10-2000,Netherlands,Cycling,2000,30,0,3,1,4
Petter Northug Jr.,28-02-2010,Norway,Cross Country Skiing,2010,24,1,2,1,4
Ole Einar Bjørndalen,24-02-2002,Norway,Biathlon,2002,28,0,4,0,4
Janica Kostelic,24-02-2002,Croatia,Alpine Skiing,2002,20,0,3,1,4
Nathan Adrian,12-08-2012,United States,Swimming,2012,23,0,2,1,3
Yannick Agnel,12-08-2012,France,Swimming,2012,20,0,2,1,3
Brittany Elmslie,12-08-2012,Australia,Swimming,2012,18,0,1,2,3
Matt Grevers,12-08-2012,United States,Swimming,2012,27,0,2,1,3
Ryosuke Irie,12-08-2012,Japan,Swimming,2012,22,1,0,2,3
Cullen Jones,12-08-2012,United States,Swimming,2012,28,0,1,2,3
Ranomi Kromowidjojo,12-08-2012,Netherlands,Swimming,2012,21,0,2,1,3
Camille Muffat,12-08-2012,France,Swimming,2012,22,1,1,1,3
Mel Schlanger,12-08-2012,Australia,Swimming,2012,25,0,1,2,3
Emily Seebohm,12-08-2012,Australia,Swimming,2012,20,0,1,2,3
Rebecca Soni,12-08-2012,United States,Swimming,2012,25,0,2,1,3
Satomi Suzuki,12-08-2012,Japan,Swimming,2012,21,2,0,1,3
Dana Vollmer,12-08-2012,United States,Swimming,2012,24,0,3,0,3
Alain Bernard,24-08-2008,France,Swimming,2008,25,1,1,1,3
László Cseh Jr.,24-08-2008,Hungary,Swimming,2008,22,0,0,3,3
Matt Grevers,24-08-2008,United States,Swimming,2008,23,0,2,1,3
Margaret Hoelzer,24-08-2008,United States,Swimming,2008,25,1,0,2,3
Katie Hoff,24-08-2008,United States,Swimming,2008,19,2,0,1,3
Leisel Jones,24-08-2008,Australia,Swimming,2008,22,0,2,1,3
Kosuke Kitajima,24-08-2008,Japan,Swimming,2008,25,1,2,0,3
Andrew Lauterstein,24-08-2008,Australia,Swimming,2008,21,2,0,1,3
Jason Lezak,24-08-2008,United States,Swimming,2008,32,1,2,0,3
Pang Jiaying,24-08-2008,China,Swimming,2008,23,2,0,1,3
Aaron Peirsol,24-08-2008,United States,Swimming,2008,25,0,2,1,3
Steph Rice,24-08-2008,Australia,Swimming,2008,20,0,3,0,3
Jess Schipper,24-08-2008,Australia,Swimming,2008,21,2,1,0,3
Rebecca Soni,24-08-2008,United States,Swimming,2008,21,0,1,2,3
Eamon Sullivan,24-08-2008,Australia,Swimming,2008,22,1,0,2,3
Dara Torres,24-08-2008,United States,Swimming,2008,41,0,0,3,3
Amanda Beard,29-08-2004,United States,Swimming,2004,22,0,1,2,3
Antje Buschschulte,29-08-2004,Germany,Swimming,2004,25,3,0,0,3
Kirsty Coventry,29-08-2004,Zimbabwe,Swimming,2004,20,1,1,1,3
Ian Crocker,29-08-2004,United States,Swimming,2004,21,1,1,1,3
Grant Hackett,29-08-2004,Australia,Swimming,2004,24,0,1,2,3
Brendan Hansen,29-08-2004,United States,Swimming,2004,22,1,1,1,3
Jodie Henry,29-08-2004,Australia,Swimming,2004,20,0,3,0,3
Otylia Jedrzejczak,29-08-2004,Poland,Swimming,2004,20,0,1,2,3
Leisel Jones,29-08-2004,Australia,Swimming,2004,18,1,1,1,3
Kosuke Kitajima,29-08-2004,Japan,Swimming,2004,21,1,2,0,3
Laure Manaudou,29-08-2004,France,Swimming,2004,17,1,1,1,3
Aaron Peirsol,29-08-2004,United States,Swimming,2004,21,0,3,0,3
Kaitlin Sandeno,29-08-2004,United States,Swimming,2004,21,1,1,1,3
Roland Schoeman,29-08-2004,South Africa,Swimming,2004,24,1,1,1,3
Pieter van den Hoogenband,29-08-2004,Netherlands,Swimming,2004,26,0,1,2,3
Therese Alshammar,01-10-2000,Sweden,Swimming,2000,23,1,0,2,3
Yana Klochkova,01-10-2000,Ukraine,Swimming,2000,18,0,2,1,3
Lenny Krayzelburg,01-10-2000,United States,Swimming,2000,24,0,3,0,3
Massimiliano Rosolino,01-10-2000,Italy,Swimming,2000,22,1,1,1,3
Petria Thomas,01-10-2000,Australia,Swimming,2000,25,1,0,2,3
Matt Welsh,01-10-2000,Australia,Swimming,2000,23,1,0,2,3
Lee Jeong-Su,28-02-2010,South Korea,Short-Track Speed Skating,2010,20,0,2,1,3
Apolo Anton Ohno,28-02-2010,United States,Short-Track Speed Skating,2010,27,2,0,1,3
Wang Meng,28-02-2010,China,Short-Track Speed Skating,2010,24,0,3,0,3
Jin Seon-Yu,26-02-2006,South Korea,Short-Track Speed Skating,2006,17,0,3,0,3
Lee Ho-Seok,26-02-2006,South Korea,Short-Track Speed Skating,2006,19,0,1,2,3
Apolo Anton Ohno,26-02-2006,United States,Short-Track Speed Skating,2006,23,2,1,0,3
Wang Meng,26-02-2006,China,Short-Track Speed Skating,2006,20,1,1,1,3
Marc Gagnon,24-02-2002,Canada,Short-Track Speed Skating,2002,26,1,2,0,3
Yang Yang (A),24-02-2002,China,Short-Track Speed Skating,2002,25,0,2,1,3
Stephanie Beckert,28-02-2010,Germany,Speed Skating,2010,21,0,1,2,3
Martina Sáblíková,28-02-2010,Czech Republic,Speed Skating,2010,22,1,2,0,3
Enrico Fabris,26-02-2006,Italy,Speed Skating,2006,24,1,2,0,3
Chad Hedrick,26-02-2006,United States,Speed Skating,2006,28,1,1,1,3
Jochem Uytdehaage,24-02-2002,Netherlands,Speed Skating,2002,25,0,2,1,3
Sabine Völker,24-02-2002,Germany,Speed Skating,2002,28,1,0,2,3
Gregor Schlierenzauer,28-02-2010,Austria,Ski Jumping,2010,20,2,1,0,3
Lars Bystøl,26-02-2006,Norway,Ski Jumping,2006,27,2,1,0,3
Johnny Spillane,28-02-2010,United States,Nordic Combined,2010,29,0,0,3,3
Felix Gottwald,26-02-2006,Austria,Nordic Combined,2006,30,0,2,1,3
Georg Hettich,26-02-2006,Germany,Nordic Combined,2006,27,1,1,1,3
Felix Gottwald,24-02-2002,Austria,Nordic Combined,2002,26,3,0,0,3
Samppa Lajunen,24-02-2002,Finland,Nordic Combined,2002,22,0,3,0,3
Aly Raisman,12-08-2012,United States,Gymnastics,2012,18,1,2,0,3
Kohei Uchimura,12-08-2012,Japan,Gymnastics,2012,23,0,1,2,3
Zou Kai,12-08-2012,China,Gymnastics,2012,24,1,2,0,3
Cheng Fei,24-08-2008,China,Gymnastics,2008,20,2,1,0,3
Yang Wei,24-08-2008,China,Gymnastics,2008,28,0,2,1,3
Yang Yilin,24-08-2008,China,Gymnastics,2008,15,2,1,0,3
Zou Kai,24-08-2008,China,Gymnastics,2008,20,0,3,0,3
Marian Dragulescu,29-08-2004,Romania,Gymnastics,2004,23,2,0,1,3
Paul Hamm,29-08-2004,United States,Gymnastics,2004,21,0,1,2,3
Carly Patterson,29-08-2004,United States,Gymnastics,2004,16,0,1,2,3
Catalina Ponor,29-08-2004,Romania,Gymnastics,2004,16,0,3,0,3
Simona Amânar,01-10-2000,Romania,Gymnastics,2000,20,1,2,0,3
Svetlana Khorkina,01-10-2000,Russia,Gymnastics,2000,21,0,1,2,3
Yekaterina Lobaznyuk,01-10-2000,Russia,Gymnastics,2000,17,1,0,2,3
Yelena Zamolodchikova,01-10-2000,Russia,Gymnastics,2000,17,0,2,1,3
Guo Shuang,12-08-2012,China,Cycling,2012,26,1,0,2,3
Chris Hoy,24-08-2008,Great Britain,Cycling,2008,32,0,3,0,3
Bradley Wiggins,29-08-2004,Great Britain,Cycling,2004,24,1,1,1,3
Florian Rousseau,01-10-2000,France,Cycling,2000,26,0,2,1,3
Justyna Kowalczyk,28-02-2010,Poland,Cross Country Skiing,2010,27,1,1,1,3
Johan Olsson,28-02-2010,Sweden,Cross Country Skiing,2010,29,2,1,0,3
Stefania Belmondo,24-02-2002,Italy,Cross Country Skiing,2002,33,1,1,1,3
Yuliya Chepalova,24-02-2002,Russia,Cross Country Skiing,2002,25,1,1,1,3
Frode Estil,24-02-2002,Norway,Cross Country Skiing,2002,29,0,2,1,3
Bente Skari-Martinsen,24-02-2002,Norway,Cross Country Skiing,2002,29,1,1,1,3
Magdalena Neuner,28-02-2010,Germany,Biathlon,2010,23,0,2,1,3
Emil Hegle Svendsen,28-02-2010,Norway,Biathlon,2010,24,0,2,1,3
Albina Akhatova,26-02-2006,Russia,Biathlon,2006,29,2,1,0,3
Ole Einar Bjørndalen,26-02-2006,Norway,Biathlon,2006,32,1,0,2,3
Sven Fischer,26-02-2006,Germany,Biathlon,2006,34,1,2,0,3
Martina Glagow-Beck,26-02-2006,Germany,Biathlon,2006,26,0,0,3,3
Michael Greis,26-02-2006,Germany,Biathlon,2006,29,0,3,0,3
Kati Wilhelm,26-02-2006,Germany,Biathlon,2006,29,0,1,2,3
Kati Wilhelm,24-02-2002,Germany,Biathlon,2002,25,0,2,1,3
Yohan Blake,12-08-2012,Jamaica,Athletics,2012,22,0,1,2,3
Usain Bolt,12-08-2012,Jamaica,Athletics,2012,25,0,3,0,3
Allyson Felix,12-08-2012,United States,Athletics,2012,26,0,3,0,3
Shelly-Ann Fraser-Pryce,12-08-2012,Jamaica,Athletics,2012,25,0,1,2,3
Carmelita Jeter,12-08-2012,United States,Athletics,2012,32,1,1,1,3
Usain Bolt,24-08-2008,Jamaica,Athletics,2008,21,0,3,0,3
Veronica Campbell-Brown,29-08-2004,Jamaica,Athletics,2004,22,1,2,0,3
Justin Gatlin,29-08-2004,United States,Athletics,2004,22,1,1,1,3
Bode Miller,28-02-2010,United States,Alpine Skiing,2010,32,1,1,1,3
Aksel Lund Svindal,28-02-2010,Norway,Alpine Skiing,2010,27,1,1,1,3
Anja Pärson,26-02-2006,Sweden,Alpine Skiing,2006,24,2,1,0,3
Stephan Eberharter,24-02-2002,Austria,Alpine Skiing,2002,32,1,1,1,3
Ding Ning,12-08-2012,China,Table Tennis,2012,22,0,1,1,2
Feng Tian Wei,12-08-2012,Singapore,Table Tennis,2012,25,2,0,0,2
Li Xiaoxia,12-08-2012,China,Table Tennis,2012,24,0,2,0,2
Dmitrij Ovtcharov,12-08-2012,Germany,Table Tennis,2012,23,2,0,0,2
Wang Hao,12-08-2012,China,Table Tennis,2012,28,0,1,1,2
Zhang Jike,12-08-2012,China,Table Tennis,2012,24,0,2,0,2
Guo Yue,24-08-2008,China,Table Tennis,2008,20,1,1,0,2
Ma Lin,24-08-2008,China,Table Tennis,2008,28,0,2,0,2
Wang Hao,24-08-2008,China,Table Tennis,2008,24,0,1,1,2
Wang Liqin,24-08-2008,China,Table Tennis,2008,30,1,1,0,2
Wang Nan,24-08-2008,China,Table Tennis,2008,29,0,1,1,2
Zhang Yining,24-08-2008,China,Table Tennis,2008,26,0,2,0,2
Zhang Yining,29-08-2004,China,Table Tennis,2004,22,0,2,0,2
Kong Linghui,01-10-2000,China,Table Tennis,2000,24,0,1,1,2
Li Ju,01-10-2000,China,Table Tennis,2000,24,0,1,1,2
Liu Guoliang,01-10-2000,China,Table Tennis,2000,24,1,0,1,2
Wang Nan,01-10-2000,China,Table Tennis,2000,21,0,2,0,2
Viktoriya Azarenko,12-08-2012,Belarus,Tennis,2012,22,1,1,0,2
Mike Bryan,12-08-2012,United States,Tennis,2012,34,1,1,0,2
Andy Murray,12-08-2012,Great Britain,Tennis,2012,25,0,1,1,2
Serena Williams,12-08-2012,United States,Tennis,2012,30,0,2,0,2
Fernando González,29-08-2004,Chile,Tennis,2004,24,1,1,0,2
Nicolás Massú,29-08-2004,Chile,Tennis,2004,26,0,2,0,2
Venus Williams,01-10-2000,United States,Tennis,2000,20,0,2,0,2
Ona Carbonell,12-08-2012,Spain,Synchronized Swimming,2012,22,1,0,1,2
Andrea Fuentes,12-08-2012,Spain,Synchronized Swimming,2012,29,1,0,1,2
Huang Xuechen,12-08-2012,China,Synchronized Swimming,2012,22,1,0,1,2
Nataliya Ishchenko,12-08-2012,Russia,Synchronized Swimming,2012,26,0,2,0,2
Liu Ou,12-08-2012,China,Synchronized Swimming,2012,25,1,0,1,2
Svetlana Romashina,12-08-2012,Russia,Synchronized Swimming,2012,22,0,2,0,2
Anastasiya Davydova,24-08-2008,Russia,Synchronized Swimming,2008,25,0,2,0,2
Andrea Fuentes,24-08-2008,Spain,Synchronized Swimming,2008,25,0,0,2,2
Gemma Mengual,24-08-2008,Spain,Synchronized Swimming,2008,31,0,0,2,2
Anastasiya Yermakova,24-08-2008,Russia,Synchronized Swimming,2008,25,0,2,0,2
Alison Bartosik,29-08-2004,United States,Synchronized Swimming,2004,21,2,0,0,2
Anastasiya Davydova,29-08-2004,Russia,Synchronized Swimming,2004,21,0,2,0,2
Anna Kozlova,29-08-2004,United States,Synchronized Swimming,2004,31,2,0,0,2
Miya Tachibana,29-08-2004,Japan,Synchronized Swimming,2004,29,0,0,2,2
Miho Takeda,29-08-2004,Japan,Synchronized Swimming,2004,27,0,0,2,2
Anastasiya Yermakova,29-08-2004,Russia,Synchronized Swimming,2004,21,0,2,0,2
Olga Brusnikina,01-10-2000,Russia,Synchronized Swimming,2000,21,0,2,0,2
Mariya Kiselyova,01-10-2000,Russia,Synchronized Swimming,2000,25,0,2,0,2
Miya Tachibana,01-10-2000,Japan,Synchronized Swimming,2000,25,0,0,2,2
Miho Takeda,01-10-2000,Japan,Synchronized Swimming,2000,24,0,0,2,2
Becky Adlington,12-08-2012,Great Britain,Swimming,2012,23,2,0,0,2
Bronte Barratt,12-08-2012,Australia,Swimming,2012,23,1,0,1,2
Elizabeth Beisel,12-08-2012,United States,Swimming,2012,19,1,0,1,2
Mireia Belmonte,12-08-2012,Spain,Swimming,2012,21,0,0,2,2
Ricky Berens,12-08-2012,United States,Swimming,2012,24,0,1,1,2
Aleksandra Gerasimenya,12-08-2012,Belarus,Swimming,2012,26,0,0,2,2
Brendan Hansen,12-08-2012,United States,Swimming,2012,30,1,1,0,2
Jessica Hardy,12-08-2012,United States,Swimming,2012,25,1,1,0,2
Chad le Clos,12-08-2012,South Africa,Swimming,2012,20,0,1,1,2
Clément Lefert,12-08-2012,France,Swimming,2012,24,0,1,1,2
Amaury Leveaux,12-08-2012,France,Swimming,2012,26,0,1,1,2
James Magnussen,12-08-2012,Australia,Swimming,2012,21,1,0,1,2
Takeshi Matsuda,12-08-2012,Japan,Swimming,2012,28,1,0,1,2
Oussama Mellouli,12-08-2012,Tunisia,Swimming,2012,28,1,1,0,2
Park Tae-Hwan,12-08-2012,South Korea,Swimming,2012,22,0,0,2,2
Christian Sprenger,12-08-2012,Australia,Swimming,2012,26,1,0,1,2
Jeremy Stravius,12-08-2012,France,Swimming,2012,24,0,1,1,2
Aya Terakawa,12-08-2012,Japan,Swimming,2012,27,2,0,0,2
Nick Thoman,12-08-2012,United States,Swimming,2012,26,0,1,1,2
Marleen Veldhuis,12-08-2012,Netherlands,Swimming,2012,33,1,0,1,2
Ye Shiwen,12-08-2012,China,Swimming,2012,16,0,2,0,2
Becky Adlington,24-08-2008,Great Britain,Swimming,2008,19,0,2,0,2
Leith Brodie,24-08-2008,Australia,Swimming,2008,22,2,0,0,2
Cate Campbell,24-08-2008,Australia,Swimming,2008,16,2,0,0,2
César Cielo Filho,24-08-2008,Brazil,Swimming,2008,21,1,1,0,2
Hugues Duboscq,24-08-2008,France,Swimming,2008,26,2,0,0,2
Felicity Galvez,24-08-2008,Australia,Swimming,2008,23,0,2,0,2
Grant Hackett,24-08-2008,Australia,Swimming,2008,28,1,0,1,2
Kara Lynn Joyce,24-08-2008,United States,Swimming,2008,22,0,0,2,2
Amaury Leveaux,24-08-2008,France,Swimming,2008,22,0,0,2,2
Christine Magnuson,24-08-2008,United States,Swimming,2008,22,0,0,2,2
Patrick Murphy,24-08-2008,Australia,Swimming,2008,24,2,0,0,2
Park Tae-Hwan,24-08-2008,South Korea,Swimming,2008,18,0,1,1,2
Shayne Reese,24-08-2008,Australia,Swimming,2008,25,1,1,0,2
Brenton Rickard,24-08-2008,Australia,Swimming,2008,24,0,0,2,2
Mel Schlanger,24-08-2008,Australia,Swimming,2008,21,1,1,0,2
Julia Smit,24-08-2008,United States,Swimming,2008,20,1,0,1,2
Britta Steffen,24-08-2008,Germany,Swimming,2008,24,0,2,0,2
Hayden Stoeckel,24-08-2008,Australia,Swimming,2008,24,1,0,1,2
Matt Targett,24-08-2008,Australia,Swimming,2008,22,1,0,1,2
Peter Vanderkaay,24-08-2008,United States,Swimming,2008,24,1,1,0,2
Arkady Vyachanin,24-08-2008,Russia,Swimming,2008,24,2,0,0,2
Garrett Weber-Gale,24-08-2008,United States,Swimming,2008,23,0,2,0,2
Lindsay Benko,29-08-2004,United States,Swimming,2004,27,0,1,1,2
Gary Hall Jr.,29-08-2004,United States,Swimming,2004,29,1,1,0,2
Brooke Hanson,29-08-2004,Australia,Swimming,2004,26,0,1,1,2
Kara Lynn Joyce,29-08-2004,United States,Swimming,2004,18,0,0,2,2
Klete Keller,29-08-2004,United States,Swimming,2004,22,1,1,0,2
Yana Klochkova,29-08-2004,Ukraine,Swimming,2004,22,0,2,0,2
Rachel Komisarz,29-08-2004,United States,Swimming,2004,27,0,1,1,2
Libby Lenton-Trickett,29-08-2004,Australia,Swimming,2004,19,1,1,0,2
Jason Lezak,29-08-2004,United States,Swimming,2004,28,1,1,0,2
Ryan Lochte,29-08-2004,United States,Swimming,2004,20,0,1,1,2
Alice Mills,29-08-2004,Australia,Swimming,2004,18,0,2,0,2
Tomomi Morita,29-08-2004,Japan,Swimming,2004,19,2,0,0,2
Markus Rogan,29-08-2004,Austria,Swimming,2004,22,0,0,2,2
Jenny Thompson,29-08-2004,United States,Swimming,2004,31,0,0,2,2
Franziska van Almsick,29-08-2004,Germany,Swimming,2004,26,2,0,0,2
Neil Walker,29-08-2004,United States,Swimming,2004,28,1,1,0,2
Amanda Weir,29-08-2004,United States,Swimming,2004,18,0,0,2,2
Takashi Yamamoto,29-08-2004,Japan,Swimming,2004,26,1,0,1,2
Brooke Bennett,01-10-2000,United States,Swimming,2000,20,0,2,0,2
Beatrice Coada-Caslaru,01-10-2000,Romania,Swimming,2000,25,1,0,1,2
Josh Davis,01-10-2000,United States,Swimming,2000,28,0,0,2,2
Tom Dolan,01-10-2000,United States,Swimming,2000,25,0,1,1,2
Anthony Ervin,01-10-2000,United States,Swimming,2000,19,0,1,1,2
Domenico Fioravanti,01-10-2000,Italy,Swimming,2000,23,0,2,0,2
Grant Hackett,01-10-2000,Australia,Swimming,2000,20,0,2,0,2
Geoff Huegill,01-10-2000,Australia,Swimming,2000,21,1,0,1,2
Leisel Jones,01-10-2000,Australia,Swimming,2000,15,0,0,2,2
Klete Keller,01-10-2000,United States,Swimming,2000,18,1,0,1,2
Jason Lezak,01-10-2000,United States,Swimming,2000,24,0,1,1,2
Diana Mocanu,01-10-2000,Romania,Swimming,2000,16,0,2,0,2
Martina Moravcová,01-10-2000,Slovakia,Swimming,2000,24,0,0,2,2
Ed Moses,01-10-2000,United States,Swimming,2000,20,0,1,1,2
Diana Munz,01-10-2000,United States,Swimming,2000,18,0,1,1,2
Mai Nakamura,01-10-2000,Japan,Swimming,2000,21,1,0,1,2
Todd Pearson,01-10-2000,Australia,Swimming,2000,22,0,2,0,2
Adam Pine,01-10-2000,Australia,Swimming,2000,24,0,1,1,2
Claudia Poll,01-10-2000,Costa Rica,Swimming,2000,27,2,0,0,2
Megan Quann-Jendrick,01-10-2000,United States,Swimming,2000,16,0,2,0,2
Giaan Rooney,01-10-2000,Australia,Swimming,2000,17,0,0,2,2
Courtney Shealy,01-10-2000,United States,Swimming,2000,22,0,2,0,2
Ashley Tappin,01-10-2000,United States,Swimming,2000,25,0,2,0,2
Stev Theloke,01-10-2000,Germany,Swimming,2000,22,2,0,0,2
Amy Van Dyken,01-10-2000,United States,Swimming,2000,27,0,2,0,2
Neil Walker,01-10-2000,United States,Swimming,2000,24,0,1,1,2
J. R. Celski,28-02-2010,United States,Short-Track Speed Skating,2010,19,2,0,0,2
Charles Hamelin,28-02-2010,Canada,Short-Track Speed Skating,2010,25,0,2,0,2
Lee Ho-Seok,28-02-2010,South Korea,Short-Track Speed Skating,2010,23,0,0,2,2
Park Seung-Hui,28-02-2010,South Korea,Short-Track Speed Skating,2010,17,2,0,0,2
Katherine Reutter,28-02-2010,United States,Short-Track Speed Skating,2010,21,1,0,1,2
Seong Si-Baek,28-02-2010,South Korea,Short-Track Speed Skating,2010,22,0,0,2,2
Marianne St-Gelais,28-02-2010,Canada,Short-Track Speed Skating,2010,19,0,0,2,2
François-Louis Tremblay,28-02-2010,Canada,Short-Track Speed Skating,2010,29,1,1,0,2
Zhou Yang,28-02-2010,China,Short-Track Speed Skating,2010,18,0,2,0,2
Choi Eun-Gyeong,26-02-2006,South Korea,Short-Track Speed Skating,2006,21,0,1,1,2
Anouk Leblanc-Boucher,26-02-2006,Canada,Short-Track Speed Skating,2006,21,1,0,1,2
François-Louis Tremblay,26-02-2006,Canada,Short-Track Speed Skating,2006,25,0,0,2,2
Choi Eun-Gyeong,24-02-2002,South Korea,Short-Track Speed Skating,2002,17,0,1,1,2
Go Gi-Hyeon,24-02-2002,South Korea,Short-Track Speed Skating,2002,15,0,1,1,2
Jonathan Guilmette,24-02-2002,Canada,Short-Track Speed Skating,2002,23,0,1,1,2
Li Jiajun,24-02-2002,China,Short-Track Speed Skating,2002,26,1,0,1,2
Apolo Anton Ohno,24-02-2002,United States,Short-Track Speed Skating,2002,19,0,1,1,2
Evgeniya Radanova,24-02-2002,Bulgaria,Short-Track Speed Skating,2002,24,1,0,1,2
Mathieu Turcotte,24-02-2002,Canada,Short-Track Speed Skating,2002,25,1,1,0,2
Wang Chunlu,24-02-2002,China,Short-Track Speed Skating,2002,23,1,0,1,2
Yang Yang (S),24-02-2002,China,Short-Track Speed Skating,2002,24,1,0,1,2
Shani Davis,28-02-2010,United States,Speed Skating,2010,27,0,1,1,2
Kristina Groves,28-02-2010,Canada,Speed Skating,2010,33,1,0,1,2
Chad Hedrick,28-02-2010,United States,Speed Skating,2010,32,1,0,1,2
Sven Kramer,28-02-2010,Netherlands,Speed Skating,2010,23,1,1,0,2
Lee Seung-Hun,28-02-2010,South Korea,Speed Skating,2010,21,0,1,1,2
Mo Tae-Beom,28-02-2010,South Korea,Speed Skating,2010,21,0,1,1,2
Ivan Skobrev,28-02-2010,Russia,Speed Skating,2010,27,1,0,1,2
Mark Tuitert,28-02-2010,Netherlands,Speed Skating,2010,29,1,1,0,2
Joey Cheek,26-02-2006,United States,Speed Skating,2006,26,0,1,1,2
Shani Davis,26-02-2006,United States,Speed Skating,2006,23,0,1,1,2
Anni Friesinger-Postma,26-02-2006,Germany,Speed Skating,2006,29,1,1,0,2
Kristina Groves,26-02-2006,Canada,Speed Skating,2006,29,0,0,2,2
Clara Hughes,26-02-2006,Canada,Speed Skating,2006,33,0,1,1,2
Sven Kramer,26-02-2006,Netherlands,Speed Skating,2006,19,1,0,1,2
Claudia Pechstein,26-02-2006,Germany,Speed Skating,2006,33,0,1,1,2
Carl Verheijen,26-02-2006,Netherlands,Speed Skating,2006,30,2,0,0,2
Erben Wennemars,26-02-2006,Netherlands,Speed Skating,2006,30,2,0,0,2
Ireen Wüst,26-02-2006,Netherlands,Speed Skating,2006,19,1,1,0,2
Derek Parra,24-02-2002,United States,Speed Skating,2002,31,0,1,1,2
Claudia Pechstein,24-02-2002,Germany,Speed Skating,2002,29,0,2,0,2
Jennifer Rodriguez,24-02-2002,United States,Speed Skating,2002,25,2,0,0,2
Simon Ammann,28-02-2010,Switzerland,Ski Jumping,2010,28,0,2,0,2
Adam Malysz,28-02-2010,Poland,Ski Jumping,2010,32,0,0,2,2
Matti Hautamäki,26-02-2006,Finland,Ski Jumping,2006,24,0,0,2,2
Andreas Kofler,26-02-2006,Austria,Ski Jumping,2006,21,0,1,1,2
Roar Ljøkelsøy,26-02-2006,Norway,Ski Jumping,2006,29,2,0,0,2
Thomas Morgenstern,26-02-2006,Austria,Ski Jumping,2006,19,0,2,0,2
Simon Ammann,24-02-2002,Switzerland,Ski Jumping,2002,20,0,2,0,2
Sven Hannawald,24-02-2002,Germany,Ski Jumping,2002,27,0,1,1,2
Matti Hautamäki,24-02-2002,Finland,Ski Jumping,2002,20,1,0,1,2
Adam Malysz,24-02-2002,Poland,Ski Jumping,2002,24,1,0,1,2
Niccolò Campriani,12-08-2012,Italy,Shooting,2012,24,0,1,1,2
Jin Jong-O,12-08-2012,South Korea,Shooting,2012,32,0,2,0,2
Olena Kostevych,12-08-2012,Ukraine,Shooting,2012,27,2,0,0,2
Jin Jong-O,24-08-2008,South Korea,Shooting,2008,28,0,1,1,2
Katerina Kurková-Emmons,24-08-2008,Czech Republic,Shooting,2008,24,0,1,1,2
Lyubov Galkina,29-08-2004,Russia,Shooting,2004,31,0,1,1,2
Mariya Grozdeva,29-08-2004,Bulgaria,Shooting,2004,32,1,1,0,2
Lee Bo-Na,29-08-2004,South Korea,Shooting,2004,23,1,0,1,2
Mikhail Nestruyev,29-08-2004,Russia,Shooting,2004,35,0,1,1,2
Igor Basinsky,01-10-2000,Belarus,Shooting,2000,37,1,0,1,2
Tao Luna,01-10-2000,China,Shooting,2000,26,0,1,1,2
Kim Crow,12-08-2012,Australia,Rowing,2012,26,1,0,1,2
